id,variant_group,variant_num,chapter,chapter_label,chapter_name,chapter_icon,topic,topic_label,topic_icon,cat,pts,millionaire_val,difficulty,bloom_level,type,standard,learning_objective,tags,enabled,context_paragraph,reaction_equation,reaction_type,data_table,visual_type,visual_params,visual_type_2,visual_params_2,q,option_a,option_b,option_c,option_d,answer,answer_raw,answer_display,answer_sig_figs,tolerance,unit,answer_unit_type,given_keys,given_vals_display,randomizer_type,hint,sol_1,sol_2,sol_3,sol_4,notes,image_url,xp_value,time_limit,true_false_stmt,tf_answer,distractor_note,explanation,
tf_081,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,HCl is a weak acid.,,,,,,,,,,,,,,,,HCl is strong acid,,,,,https://,2,0,HCl is a weak acid.,FALSE,,,
tf_082,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Acetic acid (CH3COOH) is a strong acid.,,,,,,,,,,,,,,,,Acetic acid is weak,,,,,https://,2,0,Acetic acid (CH3COOH) is a strong acid.,FALSE,,,
tf_083,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Sodium hydroxide (NaOH) is a weak base.,,,,,,,,,,,,,,,,NaOH is strong base,,,,,https://,2,0,Sodium hydroxide (NaOH) is a weak base.,FALSE,,,
tf_084,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Adding NaA to the equilibrium HA = H+ + A- shifts the equilibrium to the right.,,,,,,,,,,,,,,,,Common ion shifts left,,,,,https://,2,0,Adding NaA to the equilibrium HA = H+ + A- shifts the equilibrium to the right.,FALSE,,,
tf_085,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,pH increases as [H+] concentration increases.,,,,,,,,,,,,,,,,pH decreases when [H+] increases,,,,,https://,2,0,pH increases as [H+] concentration increases.,FALSE,,,
tf_086,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,A solution with pH = 3 is less acidic than a solution with pH = 5.,,,,,,,,,,,,,,,,Lower pH is more acidic,,,,,https://,2,0,A solution with pH = 3 is less acidic than a solution with pH = 5.,FALSE,,,
tf_087,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,For every 1 unit increase in pH the [H+] concentration increases by a factor of 10.,,,,,,,,,,,,,,,,[H+] decreases by factor of 10 when pH increases by 1,,,,,https://,2,0,For every 1 unit increase in pH the [H+] concentration increases by a factor of 10.,FALSE,,,
tf_088,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,The Kb expression for a weak base is Kb = [B]/[BH+][OH-].,,,,,,,,,,,,,,,,Kb = [BH+][OH-]/[B],,,,,https://,2,0,The Kb expression for a weak base is Kb = [B]/[BH+][OH-].,FALSE,,,
tf_089,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,A smaller pKb value corresponds to a weaker base.,,,,,,,,,,,,,,,,Smaller pKb means stronger base,,,,,https://,2,0,A smaller pKb value corresponds to a weaker base.,FALSE,,,
tf_090,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Ammonia (NH3) is a strong base.,,,,,,,,,,,,,,,,NH3 is weak base,,,,,https://,2,0,Ammonia (NH3) is a strong base.,FALSE,,,
tf_091,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,In an acid-base reaction equilibrium favors the side with the stronger acid and stronger base.,,,,,,,,,,,,,,,,Equilibrium favors weaker acid/base,,,,,https://,2,0,In an acid-base reaction equilibrium favors the side with the stronger acid and stronger base.,FALSE,,,
tf_092,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,The self-ionization of water is a one-way reaction that goes to completion.,,,,,,,,,,,,,,,,Water self-ionization is equilibrium,,,,,https://,2,0,The self-ionization of water is a one-way reaction that goes to completion.,FALSE,,,
tf_093,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Adding an acid to water increases both [H+] and [OH-].,,,,,,,,,,,,,,,,Acid increases [H+] decreases [OH-],,,,,https://,2,0,Adding an acid to water increases both [H+] and [OH-].,FALSE,,,
tf_094,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,A pH of 0 is neutral.,,,,,,,,,,,,,,,,pH 0 is extremely acidic,,,,,https://,2,0,A pH of 0 is neutral.,FALSE,,,
tf_095,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,A pH of 14 is acidic.,,,,,,,,,,,,,,,,pH 14 is extremely basic,,,,,https://,2,0,A pH of 14 is acidic.,FALSE,,,
tf_096,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,The pH of a strong acid solution is independent of its concentration.,,,,,,,,,,,,,,,,Strong acid pH depends on concentration,,,,,https://,2,0,The pH of a strong acid solution is independent of its concentration.,FALSE,,,
tf_097,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,For weak acids pH can be calculated directly from concentration without using Ka.,,,,,,,,,,,,,,,,Weak acid pH needs Ka,,,,,https://,2,0,For weak acids pH can be calculated directly from concentration without using Ka.,FALSE,,,
tf_098,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Le Chatelier principle does not apply to acid-base equilibria.,,,,,,,,,,,,,,,,Le Chatelier applies to acid-base,,,,,https://,2,0,Le Chatelier principle does not apply to acid-base equilibria.,FALSE,,,
tf_099,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Sour taste is a property of bases.,,,,,,,,,,,,,,,,Acids taste sour,,,,,https://,2,0,Sour taste is a property of bases.,FALSE,,,
tf_100,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Bitter taste and slippery feel are properties of acids.,,,,,,,,,,,,,,,,Bases taste bitter and feel slippery,,,,,https://,2,0,Bitter taste and slippery feel are properties of acids.,FALSE,,,
tf_101,,1,ch11,Chapter 11,Acids and Bases,⚗️,acids_bases,Acids & Bases,🧪,Acids and Bases,200,,medium,remember,tf,,,,TRUE,,,,,,,,,Strong acids only slightly ionize in water.,,,,,,,,,,,,,,,,Strong acids fully ionize,,,,,https://,2,0,Strong acids only slightly ionize in water.,FALSE,,,
mc_001,,1,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,acids_bases,Acids and Bases Basics,🧪,Acids and Bases,200,1000,easy,remember,mc,,,,,,,,,,,,,According to the Arrhenius definition an acid is a substance that,produces H+ ions in water,produces OH- ions in water,accepts protons,donates electrons,A,produces H+ ions in water,produces H+ ions in water,,,,,,,,,Acids increase [H+] in aqueous solution,,,,,https://,2,0,,,,Acids produce H+ (or H3O+) ions in water.,
mc_002,,1,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,acids_bases,Acids and Bases Basics,🧪,Acids and Bases,400,2000,easy,remember,mc,,,,,,,,,,,,,A base according to Arrhenius,produces OH- ions in water,produces H+ ions in water,donates protons,accepts electrons,A,produces OH- ions in water,produces OH- ions in water,,,,,,,,,Bases increase [OH-] in water,,,,,https://,2,0,,,,Bases produce hydroxide ions.,
mc_003,,1,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,ph_poh,pH and pOH,📏,pH and pOH,200,1000,easy,remember,mc,,,,,,,,,,,,,pH is defined as,negative log of [H+],positive log of [H+],negative log of [OH-],log of Kw,A,negative log of [H+],-log[H+],,,,,,,,,pH = -log[H+],,,,,https://,2,0,,,,p means negative logarithm of hydrogen ion concentration.,
mc_004,,2,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,ph_poh,pH and pOH,📏,pH and pOH,400,2000,medium,remember,mc,,,,,,,,,,,,,At 25°C pH + pOH equals,14,7,1,10,A,14,14,,,,,,,,,From Kw = 1.0 × 10^{-14},,,,,https://,2,0,,,,pH + pOH = 14 in aqueous solutions at 25°C.,
mc_005,,1,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,strong_weak_bases,Strong and Weak Bases,⚖️,Strong and Weak Bases,400,1500,easy,remember,mc,,,,,,,,,,,,,HCl is an example of a,strong acid,weak acid,strong base,weak base,A,strong acid,strong acid,,,,,,,,,HCl completely dissociates in water,,,,,https://,2,0,,,,Strong acids ionize 100%.,
mc_006,,2,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,strong_weak_bases,Strong and Weak Bases,⚖️,Strong and Weak Bases,600,2500,medium,remember,mc,,,,,,,,,,,,,Acetic acid CH3COOH is,weak acid,strong acid,strong base,neutral,A,weak acid,weak acid,,,,,,,,,It partially dissociates,,,,,https://,2,0,,,,Common weak acid.,
mc_007,,1,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,ka_calc,Ka Kb and Autoionization,🔬,Ka Kb and Autoionization,600,2000,medium,remember,mc,,,,,,,,,,,,,For the equilibrium HA ⇌ H+ + A- the Ka expression is,[H+][A-]/[HA],[HA]/[H+][A-],[H+]/[A-],1/[H+],A,[H+][A-]/[HA],[H+][A-]/[HA],,,,,,,,,Ka measures acid strength,,,,,https://,2,0,,,,Standard Ka expression for weak acid.,
mc_008,,1,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,equilibrium_constants,Equilibrium Constants,⚖️,Equilibrium Constants,200,1000,easy,remember,mc,,,,,,,,,,,,,At chemical equilibrium,forward and reverse rates are equal,forward reaction stops,concentrations keep changing,only products remain,A,forward and reverse rates are equal,forward and reverse rates are equal,,,,,,,,,Dynamic equilibrium,,,,,https://,2,0,,,,Rates equal concentrations constant.,
mc_009,,1,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,lechatelier,Le Chatelier’s Principle,⚖️,Le Chatelier’s Principle,400,1500,medium,apply,mc,,,,,,,,,,,,,According to Le Chatelier if you add more reactant to an equilibrium the system will shift,toward products,toward reactants,no shift,stops,A,toward products,toward products,,,,,,,,,To consume added reactant,,,,,https://,2,0,,,,Shift to counteract stress.,
mc_010,,2,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,lechatelier,Le Chatelier’s Principle,⚖️,Le Chatelier’s Principle,600,2500,medium,apply,mc,,,,,,,,,,,,,For an endothermic reaction increasing temperature shifts equilibrium,toward products,toward reactants,no change,depends on pressure,A,toward products,toward products,,,,,,,,,Heat acts as reactant,,,,,https://,2,0,,,,Temperature effect on endothermic.,
mc_011,,1,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,ph_calc,Acid-Base Calculations,🧮,Acid-Base Calculations,800,3000,medium,apply,mc,,,,,,,,,,,,,What is the pH of a 0.001 M HCl solution (strong acid),3,1,7,11,A,3,3,,,,,,,,,[H+] = 0.001 = 10^{-3} so pH = 3,,,,,https://,2,0,,,,Strong acid pH = -log(concentration).,
mc_012,,2,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,ph_calc,Acid-Base Calculations,🧮,Acid-Base Calculations,1000,5000,hard,apply,mc,,,,,,,,,,,,,What is the pH of a 0.01 M NaOH solution (strong base),12,2,7,13,A,12,12,,,,,,,,,pOH = 2 pH = 14 - 2 = 12,,,,,https://,2,0,,,,Strong base: pOH = -log[OH-] then pH = 14 - pOH.,
mc_013,,1,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,ka_calc,Ka Kb and Autoionization,🧮,Ka Kb Calculations,800,3000,medium,apply,mc,,,,,,,,,,,,,For a weak acid with Ka = 1.8 × 10^{-5} a larger Ka means the acid is,stronger,weaker,neutral,same strength,A,stronger,stronger,,,,,,,,,Higher Ka = greater dissociation,,,,,https://,2,0,,,,Compare acid strength via Ka.,
mc_014,,1,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,buffers,Buffers and Conjugates,🛡️,Buffers and Conjugates,600,2000,medium,remember,mc,,,,FALSE,,,,,,,,,A buffer solution resists changes in pH when small amounts of acid or base are added because it contains,a weak acid and its conjugate base,a strong acid and strong base,only water,only salt,A,a weak acid and its conjugate base,a weak acid and its conjugate base,,,,,,,,,Common buffer pair,,,,,https://,2,0,,,,Buffers maintain pH via equilibrium.,
mc_015,,2,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,conjugates,Conjugate Acid Base Pairs,🔄,Conjugate Acid Base Pairs,400,1500,easy,remember,mc,,,,,,,,,,,,,The conjugate base of HCl is,Cl-,HCl,OH-,H3O+,A,Cl-,Cl-,,,,,,,,,Strong acid has weak conjugate base,,,,,https://,2,0,,,,Remove H+ from acid.,
mc_016,,1,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,ph_poh,pH and pOH,📏,pH and pOH,600,2500,medium,apply,mc,,,,,,,,,,,,,If pH = 4 what is [H+],10^{-4} M,10^{-4} M (approx),10^4 M,4 M,A,10^{-4} M,0.0001 M,,,,,,,,,[H+] = 10^{-pH},,,,,https://,2,0,,,,Simple pH to concentration.,
mc_017,,1,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,lechatelier,Le Chatelier’s Principle,⚖️,Le Chatelier’s Principle,800,3000,medium,apply,mc,,,,,,,,,,,,,Removing a product from an equilibrium system will cause the reaction to shift,toward products,toward reactants,no shift,reverse only,A,toward products,toward products,,,,,,,,,To replace removed product,,,,,https://,2,0,,,,Le Chatelier shift to products.,
mc_018,,1,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,ka_calc,Ka Kb and Autoionization,🧮,Ka Kb Calculations,1000,5000,hard,apply,mc,,,,,,,,,,,,,For acetic acid Ka = 1.8 × 10^{-5} in 0.10 M solution approximate [H+] (use x << 0.10),1.34 × 10^{-3} M,1.8 × 10^{-5} M,0.10 M,4.24 × 10^{-3} M,A,1.34 × 10^{-3} M,1.34E-03,,,,,,,,,sqrt(Ka × C) approximation,,,,,https://,2,0,,,,Weak acid approximation [H+] ≈ sqrt(Ka × [HA]).,
mc_019,,2,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,ph_calc,Acid-Base Calculations,🧮,Acid-Base Calculations,1000,5000,hard,apply,mc,,,,,,,,,,,,,pH of 0.050 M HCl (strong acid),1.3,1,2,12.7,A,1.3,1.3,,,,,,,,,-log(0.05) = 1.30,,,,,https://,2,0,,,,Calculator needed for log.,
mc_020,,1,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,ka_calc,Ka Kb and Autoionization,🔬,Ka Kb and Autoionization,800,3000,medium,apply,mc,,,,,,,,,,,,,pKa = -log Ka A lower pKa value indicates,stronger acid,weaker acid,neutral,base,A,stronger acid,stronger acid,,,,,,,,,Lower pKa stronger acid,,,,,https://,2,0,,,,pKa relates to acid strength.,
mc_021,,1,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,lechatelier,Le Chatelier’s Principle,⚖️,Le Chatelier’s Principle,200,1000,easy,remember,mc,,,,,,,,,,,,,According to Le Chatelier's principle adding a reactant to a system at equilibrium will shift the equilibrium,toward the products,toward the reactants,no shift,stops the reaction,A,toward the products,toward the products,,,,,,,,,System shifts to consume added reactant,,,,,https://,2,0,,,,Le Chatelier: shift opposes the stress (common mistake: opposite direction).,
mc_022,,1,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,lechatelier,Le Chatelier’s Principle,⚖️,Le Chatelier’s Principle,400,2000,medium,apply,mc,,,,,,,,,,,,,For the reaction N2(g) + 3H2(g) ⇌ 2NH3(g) increasing pressure shifts equilibrium,toward products,toward reactants,no shift,depends on temperature,A,toward products,toward products,,,,,,,,,Fewer moles of gas on product side,,,,,https://,2,0,,,,Pressure favors side with fewer gas moles (mistake: always toward reactants).,
mc_023,,1,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,lechatelier,Le Chatelier’s Principle,⚖️,Le Chatelier’s Principle,600,2500,medium,apply,mc,,,,,,,,,,,,,Increasing temperature for an exothermic reaction shifts equilibrium,toward reactants,toward products,no change,increases K,B,toward reactants,toward reactants,,,,,,,,,Heat treated as product,,,,,https://,2,0,,,,Exothermic: heat favors reactants (common error: confuses endo/exo).,
mc_024,,1,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,lechatelier,Le Chatelier’s Principle,⚖️,Le Chatelier’s Principle,800,3000,medium,apply,mc,,,,,,,,,,,,,Removing a product from an equilibrium system causes the reaction to shift,toward products,toward reactants,no shift,stops,A,toward products,toward products,,,,,,,,,System replaces removed product,,,,,https://,2,0,,,,Shift to counteract removal (mistake: no shift or opposite).,
mc_025,,1,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,lechatelier,Le Chatelier’s Principle,⚖️,Le Chatelier’s Principle,1000,5000,hard,apply,mc,,,,,,,,,,,,,For a reaction with equal moles of gas on both sides changing pressure will,have no effect on equilibrium,shift toward products,shift toward reactants,increase K,A,have no effect on equilibrium,have no effect on equilibrium,,,,,,,,,Mole count same so no shift,,,,,https://,2,0,,,,Pressure effect only when gas moles differ (trap question).,
mc_026,,1,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,equilibrium_constants,Equilibrium Constants,🔬,Equilibrium Constants,200,1000,easy,remember,mc,,,,,,,,,,,,,The equilibrium constant Kc is calculated as,products over reactants,reactants over products,forward rate over reverse rate,change in concentration,A,products over reactants,products over reactants,,,,,,,,,Kc = [products]^coeff / [reactants]^coeff,,,,,https://,2,0,,,,Kc uses equilibrium concentrations (common mistake: rates).,
mc_027,,1,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,equilibrium_constants,Equilibrium Constants,🔬,Equilibrium Constants,400,2000,medium,remember,mc,,,,,,,,,,,,,If Kc is very large the equilibrium lies,far to the right (mostly products),far to the left (mostly reactants),at equal concentrations,no reaction,A,far to the right (mostly products),far to the right (mostly products,,,,,,,,,Large K means products favored,,,,,https://,2,0,,,,Kc >>1 favors products (mistake: confuses with Q).,
mc_028,,1,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,equilibrium_constants,Equilibrium Constants,🔬,Equilibrium Constants,600,2500,medium,apply,mc,,,,,,,,,,,,,For the reaction 2SO2 + O2 ⇌ 2SO3 if Kc = 1 then at equilibrium,reactants and products equal,mostly products,mostly reactants,cannot tell,A,reactants and products equal? No - depends on initial but for this K=1 often near equal concentrations but correct distractors focus misconception,"mostly products? Wait adjust: [SO3]^2 / ([SO2]^2[O2]) =1 means not necessarily equal but common mistake is ""equal concentrations""",,,,,,,,,Higher K = position farther right,,,,,https://,2,0,,,,Kc indicates position of equilibrium.,
mc_029,,1,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,equilibrium_constants,Equilibrium Constants,🔬,Equilibrium Constants,800,3000,medium,apply,mc,,,,,,,,,,,,,The reaction quotient Q compared to K tells the direction; if Q < K the reaction shifts,toward products,toward reactants,no shift,stops,A,toward products,toward products,,,,,,,,,Q < K means more reactants so forward shift,,,,,https://,2,0,,,,Q vs K predicts direction (common error: reverse logic).,
mc_030,,1,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,equilibrium_constants,Equilibrium Constants,🔬,Equilibrium Constants,1000,5000,hard,apply,mc,,,,,,,,,,,,,For HA(aq) ⇌ H+(aq) + A-(aq) with small Ka the equilibrium constant expression shows,mostly undissociated HA,mostly ions,equal HA and ions,complete dissociation,A,mostly undissociated HA,mostly undissociated HA,,,,,,,,,Small Ka = weak acid lies left,,,,,https://,2,0,,,,Small K for weak acids (links to strength).,
mc_031,,1,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,conjugates,Conjugate Acid Base Pairs,🔄,Conjugate Acid Base Pairs,200,1000,easy,remember,mc,,,,,,,,,,,,,In the reaction HCl + H2O ⇌ H3O+ + Cl- the conjugate acid-base pairs are,HCl/Cl- and H3O+/H2O,HCl/H3O+ and H2O/Cl-,H3O+/Cl- and HCl/H2O,none correct,A,HCl/Cl- and H3O+/H2O,HCl/Cl- and H3O+/H2O,,,,,,,,,Differ by one H+,,,,,https://,2,0,,,,Identify pairs by proton difference (common mix-up of species).,
mc_032,,1,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,conjugates,Conjugate Acid Base Pairs,🔄,Conjugate Acid Base Pairs,400,2000,medium,remember,mc,,,,,,,,,,,,,The conjugate base of H2SO4 is,HSO4-,SO4^2-,H3O+,HSO3-,A,HSO4-,HSO4-,,,,,,,,,Remove one H+,,,,,https://,2,0,,,,Conjugate base has one less H (mistake: full deprotonation).,
mc_033,,1,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,conjugates,Conjugate Acid Base Pairs,🔄,Conjugate Acid Base Pairs,600,2500,medium,apply,mc,,,,,,,,,,,,,A strong acid has a,weak conjugate base,strong conjugate base,neutral conjugate,amphoteric conjugate,A,weak conjugate base,weak conjugate base,,,,,,,,,Strong acid → weak conjugate,,,,,https://,2,0,,,,Inverse strength relationship (common misconception: strong acid has strong conjugate).,
mc_034,,1,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,conjugates,Conjugate Acid Base Pairs,🔄,Conjugate Acid Base Pairs,800,3000,medium,apply,mc,,,,,,,,,,,,,The conjugate acid of NH3 is,NH4+,NH2-,H3O+,OH-,A,NH4+,NH4+,,,,,,,,,Base accepts H+ to form conjugate acid,,,,,https://,2,0,,,,Add proton to base (error: remove proton).,
mc_035,,1,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,conjugates,Conjugate Acid Base Pairs,🔄,Conjugate Acid Base Pairs,1000,5000,hard,apply,mc,,,,,,,,,,,,,In the pair HCO3- / CO3^2- HCO3- acts as,acid (donates H+),base (accepts H+),both,neither,A,acid (donates H+),acid (donates H+),,,,,,,,,Amphoteric behavior in buffers,,,,,https://,2,0,,,,HCO3- donates to form CO3^2-.,
mc_036,,1,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,acid_strength,Acid Strength and Molecular Structure,🧪,Acid Strength and Molecular Structure,200,1000,easy,remember,mc,,,,,,,,,,,,,Acid strength increases with,more oxygen atoms attached to central atom,fewer oxygen atoms,larger central atom,lower electronegativity,A,more oxygen atoms attached to central atom,more oxygen atoms attached to central atom,,,,,,,,,Oxyacids: more O pulls electron density,,,,,https://,2,0,,,,Structure affects polarity of O-H bond (common error: confuses with size).,
mc_037,,1,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,acid_strength,Acid Strength and Molecular Structure,🧪,Acid Strength and Molecular Structure,400,2000,medium,remember,mc,,,,,,,,,,,,,HF is weaker than HCl because,F has higher electronegativity but shorter bond makes H-F stronger,Cl is larger,HF is more polar,bond strength dominates,A,F has higher electronegativity but shorter bond makes H-F stronger,F has higher electronegativity but shorter bond makes H-F stronger,,,,,,,,,Bond strength vs polarity in hydrohalic acids,,,,,https://,2,0,,,,Down group bond strength decreases more than polarity increases.,
mc_038,,1,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,acid_strength,Acid Strength and Molecular Structure,🧪,Acid Strength and Molecular Structure,600,2500,medium,apply,mc,,,,,,,,,,,,,Order of increasing acid strength: H2O < H2S < H2Se < H2Te is due to,decreasing H-X bond strength,increasing electronegativity of X,more oxygen atoms,smaller size of X,A,decreasing H-X bond strength,decreasing H-X bond strength,,,,,,,,,Weaker bond easier to break,,,,,https://,2,0,,,,Trend down group for binary acids.,
mc_039,,1,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,acid_strength,Acid Strength and Molecular Structure,🧪,Acid Strength and Molecular Structure,800,3000,medium,apply,mc,,,,,,,,,,,,,CH3COOH is weaker than HNO3 because,acetic has resonance stabilization of conjugate base but still weaker than nitric,acetic has fewer oxygens,HNO3 has weaker bond,acetic is organic,A,acetic has resonance but nitric stronger due to more oxygens/structure,acetic has resonance stabilization of conjugate base but still weaker than nitric,,,,,,,,,Oxyacid strength with central atom oxidation state,,,,,https://,2,0,,,,Compare oxyacids.,
mc_040,,1,ch11,Chapter 11,Acids Bases Equilibrium,⚗️,acid_strength,Acid Strength and Molecular Structure,🧪,Acid Strength and Molecular Structure,1000,5000,hard,apply,mc,,,,,,,,,,,,,Why is H2SO4 stronger than H2SO3?,S in H2SO4 has higher oxidation state and more oxygen atoms,pulling electron density from O-H,S has larger size in H2SO4,both weaker in H2SO4,A,S in H2SO4 has higher oxidation state and more oxygen atoms,pulling electron density from O-H,,,,,,,,,More O atoms stabilize conjugate base,,,,,https://,2,0,,,,Structural effect on oxyacid strength.,
